"","TICKER","gvkey","public_date","bm","ptb","GProf","npm","capital_ratio","totdebt_invcap","cash_lt","short_debt","debt_assets","de_ratio","sale_equity","sale_invcap"
"8541","TBBK","158587",2010-03-31,1.146,1.132,0.031,0.045,0.052,0.449,0.197,0.884,0.88,7.334,0.374,0.355
"8542","TBBK","158587",2010-04-30,1.146,1.128,0.031,0.045,0.052,0.449,0.197,0.884,0.88,7.334,0.374,0.355
"8543","TBBK","158587",2011-06-30,0.841,1.347,0.029,0.054,0.059,0.263,0.256,0.777,0.914,10.623,0.493,0.464
"8544","TBBK","158587",2011-07-31,0.841,1.16,0.029,0.054,0.059,0.263,0.256,0.777,0.914,10.623,0.493,0.464
"8545","TBBK","158587",2011-08-31,0.756,0.987,0.029,0.055,0.055,0.26,0.259,0.789,0.911,10.256,0.476,0.45
"8546","TBBK","158587",2011-09-30,0.756,0.906,0.029,0.055,0.055,0.26,0.259,0.789,0.911,10.256,0.476,0.45
"8547","TBBK","158587",2011-10-31,0.756,1.018,0.029,0.055,0.055,0.26,0.259,0.789,0.911,10.256,0.476,0.45
"8548","TBBK","158587",2010-10-31,0.994,0.962,0.03,0.046,0.056,0.182,0.176,0.69,0.892,8.248,0.427,0.403
"8549","TBBK","158587",2011-12-31,1.13,0.891,0.029,0.068,0.051,0.258,0.286,0.801,0.911,10.233,0.459,0.435
"8550","TBBK","158587",2012-01-31,1.13,0.988,0.029,0.068,0.051,0.258,0.286,0.801,0.911,10.233,0.459,0.435
"8551","TBBK","158587",2012-02-29,1.135,1.014,0.028,0.075,0.047,0.164,0.274,0.712,0.91,10.09,0.436,0.415
"8552","TBBK","158587",2012-03-31,1.135,1.22,0.028,0.075,0.047,0.164,0.274,0.712,0.91,10.09,0.436,0.415
"8553","TBBK","158587",2012-04-30,1.135,1.248,0.028,0.075,0.047,0.164,0.274,0.712,0.91,10.09,0.436,0.415
"8554","TBBK","158587",2011-04-30,0.747,1.634,0.029,0.051,0.063,0.771,0.215,0.918,0.917,11.044,0.519,0.487
"8555","TBBK","158587",2011-05-31,0.841,1.305,0.029,0.054,0.059,0.263,0.256,0.777,0.914,10.623,0.493,0.464
"8556","TBBK","158587",2012-07-31,0.837,1.112,0.028,0.081,0.047,0.139,0.346,0.661,0.917,11.006,0.467,0.445
"8557","TBBK","158587",2012-08-31,0.906,1.132,0.029,0.102,0.046,0.138,0.354,0.664,0.919,11.402,0.478,0.456
"8558","TBBK","158587",2012-09-30,0.906,1.202,0.029,0.102,0.046,0.138,0.354,0.664,0.919,11.402,0.478,0.456
"8559","TBBK","158587",2012-10-31,0.906,1.331,0.029,0.102,0.046,0.138,0.354,0.664,0.919,11.402,0.478,0.456
"8560","TBBK","158587",2012-11-30,0.85,1.337,0.032,0.106,0.046,0.131,0.31,0.651,0.916,10.928,0.492,0.469
"8561","TBBK","158587",2011-11-30,1.13,0.988,0.029,0.068,0.051,0.258,0.286,0.801,0.911,10.233,0.459,0.435
"8562","TBBK","158587",2013-01-31,0.85,1.525,0.032,0.106,0.046,0.131,0.31,0.651,0.916,10.928,0.492,0.469
"8563","TBBK","158587",2013-02-28,0.826,1.419,0.03,0.114,0.038,0.091,0.288,0.581,0.909,9.989,0.435,0.418
"8564","TBBK","158587",2013-03-31,0.826,1.536,0.03,0.114,0.038,0.091,0.288,0.581,0.909,9.989,0.435,0.418
"8565","TBBK","158587",2013-04-30,0.826,1.442,0.03,0.114,0.038,0.091,0.288,0.581,0.909,9.989,0.435,0.418
"8566","TBBK","158587",2013-05-31,0.669,1.55,0.032,0.114,0.041,0.099,0.261,0.586,0.911,10.235,0.449,0.43
"8567","TBBK","158587",2013-06-30,0.669,1.618,0.032,0.114,0.041,0.099,0.261,0.586,0.911,10.235,0.449,0.43
"8568","TBBK","158587",2013-07-31,0.669,1.619,0.032,0.114,0.041,0.099,0.261,0.586,0.911,10.235,0.449,0.43
"8569","TBBK","158587",2013-08-31,0.615,1.716,0.032,0.114,0.039,0.093,0.247,0.577,0.911,10.263,0.427,0.41
"8570","TBBK","158587",2013-09-30,0.615,1.934,0.032,0.114,0.039,0.093,0.247,0.577,0.911,10.263,0.427,0.41
"8571","TBBK","158587",2013-10-31,0.615,1.767,0.032,0.114,0.039,0.093,0.247,0.577,0.911,10.263,0.427,0.41
"8572","TBBK","158587",2013-11-30,0.531,1.954,0.03,0.105,0.037,0.091,0.246,0.587,0.912,10.381,0.398,0.383
"8573","TBBK","158587",2013-12-31,0.531,1.907,0.03,0.105,0.037,0.091,0.246,0.587,0.912,10.381,0.398,0.383
"8574","TBBK","158587",2014-01-31,0.531,2.028,0.03,0.105,0.037,0.091,0.246,0.587,0.912,10.381,0.398,0.383
"8575","TBBK","158587",2014-02-28,0.534,2.003,0.032,0.132,0.036,0.093,0.285,0.613,0.924,12.087,0.528,0.509
"8576","TBBK","158587",2014-03-31,0.534,1.972,0.032,0.132,0.036,0.093,0.285,0.613,0.924,12.087,0.528,0.509
"8577","TBBK","158587",2014-04-30,0.534,1.659,0.032,0.132,0.036,0.093,0.285,0.613,0.924,12.087,0.528,0.509
"8578","TBBK","158587",2014-05-31,0.516,1.617,0.03,0.094,0.036,0.09,0.22,0.595,0.918,11.143,0.402,0.387
"8579","TBBK","158587",2014-06-30,0.516,1.227,0.03,0.094,0.036,0.09,0.22,0.595,0.918,11.143,0.402,0.387
"8580","TBBK","158587",2014-07-31,0.516,0.978,0.03,0.094,0.036,0.09,0.22,0.595,0.918,11.143,0.402,0.387
"8581","TBBK","158587",2014-08-31,0.829,0.983,0.031,0.074,0.036,0.087,0.201,0.59,0.918,11.208,0.413,0.398
"8582","TBBK","158587",2014-09-30,0.829,0.87,0.031,0.074,0.036,0.087,0.201,0.59,0.918,11.208,0.413,0.398
"8583","TBBK","158587",2014-10-31,0.829,0.958,0.031,0.074,0.036,0.087,0.201,0.59,0.918,11.208,0.413,0.398
"8584","TBBK","158587",2014-11-30,1.1,0.948,0.032,0.096,0.036,0.086,0.184,0.589,0.919,11.386,0.428,0.413
"8585","TBBK","158587",2014-12-31,1.1,1.152,0.032,0.096,0.036,0.086,0.184,0.589,0.919,11.386,0.428,0.413
"8586","TBBK","158587",2015-01-31,1.1,0.901,0.032,0.096,0.036,0.086,0.184,0.589,0.919,11.386,0.428,0.413
"8587","TBBK","158587",2015-02-28,0.777,1.104,0.029,0.14,0.04,0.099,0.239,0.592,0.936,14.63,0.488,0.469
"8588","TBBK","158587",2015-03-31,0.777,1.072,0.029,0.14,0.04,0.099,0.239,0.592,0.936,14.63,0.488,0.469
"8589","TBBK","158587",2015-04-30,0.777,1.156,0.029,0.14,0.04,0.099,0.239,0.592,0.936,14.63,0.488,0.469
"8590","TBBK","158587",2015-05-31,0.945,1.137,0.031,0.108,0.038,0.084,0.184,0.553,0.926,12.465,0.456,0.438
"8591","TBBK","158587",2015-06-30,0.945,1.091,0.031,0.108,0.038,0.084,0.184,0.553,0.926,12.465,0.456,0.438
"8592","TBBK","158587",2015-07-31,0.945,0.982,0.031,0.108,0.038,0.084,0.184,0.553,0.926,12.465,0.456,0.438
"8593","TBBK","158587",2015-08-31,0.901,0.88,0.032,0.079,0.039,0.077,0.209,0.489,0.93,13.307,0.488,0.469
"8594","TBBK","158587",2015-09-30,0.901,0.911,0.032,0.079,0.039,0.077,0.209,0.489,0.93,13.307,0.488,0.469
"8595","TBBK","158587",2015-10-31,0.901,0.861,0.032,0.079,0.039,0.077,0.209,0.489,0.93,13.307,0.488,0.469
"8596","TBBK","158587",2015-11-30,1.09,0.924,0.031,-0.005,0.04,0.064,0.234,0.365,0.934,14.117,0.505,0.484
"8597","TBBK","158587",2015-12-31,1.09,0.769,0.031,-0.005,0.04,0.064,0.234,0.365,0.934,14.117,0.505,0.484
"8598","TBBK","158587",2016-01-31,1.09,0.543,0.031,-0.005,0.04,0.064,0.234,0.365,0.934,14.117,0.505,0.484
"8599","TBBK","158587",2016-02-29,1.33,0.564,0.035,0.029,0.04,0.043,0.26,0.065,0.933,13.893,0.572,0.549
"8600","TBBK","158587",2016-03-31,1.33,0.676,0.035,0.029,0.04,0.043,0.26,0.065,0.933,13.893,0.572,0.549
"8601","TBBK","158587",2016-04-30,1.33,0.672,0.035,0.029,0.04,0.043,0.26,0.065,0.933,13.893,0.572,0.549
"8602","TBBK","158587",2016-05-31,1.458,0.812,0.037,-0.019,0.041,0.044,0.229,0.085,0.932,13.638,0.585,0.561
"8603","TBBK","158587",2016-06-30,1.458,0.722,0.037,-0.019,0.041,0.044,0.229,0.085,0.932,13.638,0.585,0.561
"8604","TBBK","158587",2016-07-31,1.458,0.637,0.037,-0.019,0.041,0.044,0.229,0.085,0.932,13.638,0.585,0.561
"8605","TBBK","158587",2016-08-31,1.274,0.807,0.035,-0.107,0.041,0.044,0.208,0.052,0.932,13.732,0.559,0.536
"8606","TBBK","158587",2016-09-30,1.274,1.223,0.035,-0.107,0.041,0.044,0.208,0.052,0.932,13.732,0.559,0.536
